"id","mas_college_stream_id","mas_college_code","mas_college_name","mas_college_canonical_college_id","mas_college_exam_centre","mas_college_type","mas_college_is_internal","mas_college_status_id","created_by","updated_by","created_at","updated_at","deleted_at"
1,8,P213,ANJANADRI INSTITUTE OF PHARMACY,,1,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
2,8,P230,DBAES’S SAGAR COLLEGE OF PHARMACY,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
3,8,P128,ST. MARY’S COLLEGE OF PHARMACY,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
4,8,P180,SHETTY INSTITUTE OF PHARMACEUTICAL SCIENCES,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
5,8,P001,SHRI BASAVESHWAR INSTITUTE OF PHARMACY,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
6,8,P003,GOVERNMENT COLLEGE OF PHARMACY,,0,G,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
7,8,P004,GAUTHAM COLLEGE OF PHARMACY,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
8,8,P005,OXBRIDGE COLLEGE OF PHARMACY,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
9,8,P006,KRUPANIDHI COLLEGE OF PHARMACY,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
10,8,P012,ST. JOHN’S PHARMACY COLLEGE,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
11,8,P013,VISVESWARAPURA INSTITUTE OF PHARMACEUTICAL SCIENCES,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
12,8,P014,VIVEKANANDA COLLEGE OF PHARMACY,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
13,8,P015,M M U COLLEGE OF PHARMACY,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
14,8,P016,DR. H.L. THIMMEGOWDA COLLEGE OF PHARMACY,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
15,8,P018,THE OXFORD COLLEGE OF PHARMACY,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
16,8,P019,SRI K V COLLEGE OF PHARMACY,,0,P,0,1,,,"2026-01-22 07:21:55","2026-01-22 07:21:55",
